790363316: not in active state
790363360: not in active state
790363615, SCODE:102555TR, rc:0
790363621, SAPID:1111111111, rc:0
790363621, SCODE:102555TR, rc:0
790363633, SAPID:1111111111, rc:0
790363633, SCODE:102555TR, rc:0
790363635, SAPID:1111111111, rc:0
790363635, SCODE:102555TR, rc:0
790363647, SAPID:1111111111, rc:0
790363647, SCODE:102555TR, rc:0
790365680, SAPID:1111111111, rc:0
790365680, SCODE:102555TR, rc:0
790365683, SAPID:1111111111, rc:0
790365683, SCODE:102555TR, rc:0
790365701, SAPID:1111111111, rc:0
790365701, SCODE:102555TR, rc:0
790365703, SAPID:1111111111, rc:0
790365703, SCODE:102555TR, rc:0
790365720, SAPID:1111111111, rc:0
790365720, SCODE:102555TR, rc:0
790365729, SAPID:1111111111, rc:0
790365729, SCODE:102555TR, rc:0
790365731, SAPID:1111111111, rc:0
790365731, SCODE:102555TR, rc:0
790365738, SAPID:1111111111, rc:0
790365738, SCODE:102555TR, rc:0
790365743, SAPID:1111111111, rc:0
790365743, SCODE:102555TR, rc:0
790365745, SAPID:1111111111, rc:0
790365745, SCODE:102555TR, rc:0
790365746, SAPID:1111111111, rc:0
790365746, SCODE:102555TR, rc:0
790365749, SAPID:1111111111, rc:0
790365749, SCODE:102555TR, rc:0
790365753, SAPID:1111111111, rc:0
790365753, SCODE:102555TR, rc:0
790365754, SAPID:1111111111, rc:0
790365754, SCODE:102555TR, rc:0
790365755, SAPID:1111111111, rc:0
790365755, SCODE:102555TR, rc:0
790365759, SAPID:1111111111, rc:0
790365759, SCODE:102555TR, rc:0
790365770, SAPID:1111111111, rc:0
790365770, SCODE:102555TR, rc:0
790365774, SAPID:1111111111, rc:0
790365774, SCODE:102555TR, rc:0
790365792, SAPID:1111111111, rc:0
790365792, SCODE:102555TR, rc:0
790365799, SAPID:1111111111, rc:0
790365799, SCODE:102555TR, rc:0
790367687: not in active state
790367690, SAPID:1111111111, rc:0
790367690, SCODE:102555TR, rc:0
790365779, SAPID:1111111111, rc:0
790365779, SCODE:102555TR, rc:0
790367806, SAPID:1111111111, rc:0
790367806, SCODE:102555TR, rc:0
790369855, SAPID:1111111111, rc:0
790369855, SCODE:102555TR, rc:0
790369901, SAPID:1111111111, rc:0
790369901, SCODE:102555TR, rc:0
790369927, SAPID:1111111111, rc:0
790369927, SCODE:102555TR, rc:0
790369941, SAPID:1111111111, rc:0
790369941, SCODE:102555TR, rc:0
790370490, SAPID:1111111111, rc:0
790370490, SCODE:102555TR, rc:0
790363684, SAPID:1111111111, rc:0
790363684, SCODE:102555TR, rc:0
790363712, SAPID:1111111111, rc:0
790363712, SCODE:102555TR, rc:0
790363763, SAPID:1111111111, rc:0
790363763, SCODE:102555TR, rc:0
790363773, SAPID:1111111111, rc:0
790363773, SCODE:102555TR, rc:0
790365867, SAPID:1111111111, rc:0
790365867, SCODE:102555TR, rc:0
790365872, SAPID:1111111111, rc:0
790365872, SCODE:102555TR, rc:0
790365881, SAPID:1111111111, rc:0
790365881, SCODE:102555TR, rc:0
790365891, SAPID:1111111111, rc:0
790365891, SCODE:102555TR, rc:0
790365900, SAPID:1111111111, rc:0
790365900, SCODE:102555TR, rc:0
790365913, SAPID:1111111111, rc:0
790365913, SCODE:102555TR, rc:0
790365928, SAPID:1111111111, rc:0
790365928, SCODE:102555TR, rc:0
790365929, SAPID:1111111111, rc:0
790365929, SCODE:102555TR, rc:0
790365933, SAPID:1111111111, rc:0
790365933, SCODE:102555TR, rc:0
790367841, SAPID:1111111111, rc:0
790367841, SCODE:102555TR, rc:0
790367845, SAPID:1111111111, rc:0
790367845, SCODE:102555TR, rc:0
790367880, SAPID:1111111111, rc:0
